Branch_ID,Dealer_ID,Model_ID,Revenue,Units_Sold,Date_ID,Day,Month,Year,BranchName,DealerName,Product_Name
BR0049,DLR0025,Kia-M191,72760,4,DT00190,9,7,2017,Piaggio Motors,Facel Vega Motors,Kia
BR0006,DLR0058,Jee-M417,262330,5,DT00824,4,4,2019,Elva Motors,Elva Motors,Jeep
BR0047,DLR0021,Tes-M160,253385,5,DT00685,16,11,2018,Deccan Motors,Elva Motors,Tesla
BR0011,DLR0036,Ren-M374,99870,5,DT00080,21,3,2017,Saab Motors,Fiat do Brasil Motors,Renault
BR0057,DLR0018,Hyu-M147,90940,4,DT01251,4,6,2020,Deccan Motors,Ferrari Motors,Hyundai
BR0014,DLR0015,Tat-M233,20173,1,DT00047,16,2,2017,Subaru Motors,Facel Vega Motors,Tata
BR0054,DLR0003,Toy-M1,180785,5,DT01439,9,12,2020,Deccan Motors,Deccan Motors,Toyota
BR0011,DLR0012,Kia-M471,22312,1,DT00656,18,10,2018,Saab Motors,Saab Motors,Kia
BR0024,DLR0028,BMW-M224,202588,4,DT01354,15,9,2020,PGO Motors,AC Cars Motors,BMW
BR0028,DLR0036,Nis-M8,60988,2,DT00373,8,1,2018,Subaru Motors,Fiat do Brasil Motors,Nissan
BR0060,DLR0050,Cad-M136,113938,2,DT00090,31,3,2017,Elva Motors,Wiesmann Motors,Cadillac
BR0041,DLR0064,Tes-M220,295950,5,DT00540,24,6,2018,Pontiac Motors,Elva Motors,Tesla
BR0009,DLR0033,Hyu-M447,22846,1,DT00502,17,5,2018,Plymouth Motors,Saab Motors,Hyundai
BR0013,DLR0046,Tes-M220,295950,5,DT00461,6,4,2018,Plymouth Motors,Saab Motors,Tesla
BR0051,DLR0069,Vol-M390,86926,2,DT01277,30,6,2020,Subaru Motors,Elva Motors,Volkswagen
BR0059,DLR0005,Vol-M10,48612,2,DT00450,26,3,2018,PGO Motors,Deccan Motors,Volkswagen
BR0018,DLR0049,Che-M289,29805,1,DT01143,17,2,2020,Plymouth Motors,Eicher Polaris Motors,Chevrolet
BR0022,DLR0059,Hon-M282,21150,1,DT00853,3,5,2019,AC Cars Motors,Elva Motors,Honda
BR0033,DLR0001,Jee-M177,181040,5,DT00795,6,3,2019,Peugeot Motors,Subaru Motors,Jeep
BR0017,DLR0069,Cad-M496,232464,4,DT00405,9,2,2018,Deccan Motors,Elva Motors,Cadillac
BR0053,DLR0037,Jee-M437,248445,5,DT00771,10,2,2019,Saab Motors,Ferrari Motors,Jeep
BR0017,DLR0078,Lex-M458,237243,3,DT00714,15,12,2018,Deccan Motors,Saab Motors,Lexus
BR0051,DLR0045,Aud-M366,72850,1,DT00457,2,4,2018,Subaru Motors,Facel Vega Motors,Audi
BR0049,DLR0032,Tes-M260,98335,1,DT00717,18,12,2018,Piaggio Motors,AC Cars Motors,Tesla
BR0058,DLR0034,Nis-M348,48104,2,DT00034,3,2,2017,PGO Motors,Fiat do Brasil Motors,Nissan
BR0059,DLR0050,Lex-M118,123462,3,DT00438,14,3,2018,PGO Motors,Wiesmann Motors,Lexus
BR0005,DLR0057,Che-M449,182500,4,DT00268,25,9,2017,Piaggio Motors,Fiat do Brasil Motors,Chevrolet
BR0021,DLR0014,Mah-M112,126240,5,DT00401,5,2,2018,Peugeot Motors,Saab Motors,Mahindra
BR0039,DLR0038,Mar-M75,51294,3,DT00578,1,8,2018,Deccan Motors,Elva Motors,Maruti
BR0034,DLR0030,Aud-M226,122710,2,DT00764,3,2,2019,Subaru Motors,Wiesmann Motors,Audi
